시도,시군구,지점명,주소,lng,lat,브랜드
부산광역시,기장군,부산기장점,부산광역시 기장군 기장읍 동부리 152-7,129.2166837,35.2477551,피자스쿨
부산광역시,수영구,부산남천역점,부산광역시 수영구 남천동 19-13 ,129.1078354,35.1414997,피자스쿨
부산광역시,영도구,부산남항점,부산광역시 영도구 남항동 2가 265-1 ,129.0404672,35.0886157,피자스쿨
부산광역시,사하구,부산다대1동점,부산광역시 사하구 다대1동 942-15 ,128.969949,35.0577134,피자스쿨
부산광역시,사하구,부산당리점,부산광역시 사하구 당리동 163 ,128.9750432,35.1065237,피자스쿨
부산광역시,남구,부산대연점,부산광역시 남구 대연5동 1364-9,129.0905452,35.1368216,피자스쿨
부산광역시,연제구,부산더샵파크점,부산광역시 연제구 연산동 303-24,129.0943096,35.1911143,피자스쿨
부산광역시,서구,부산동대신점,부산광역시 서구 서대신동3가 387-10 ,129.0161082,35.1130242,피자스쿨
부산광역시,사상구,부산동서대점,부산광역시 사상구 주례동 80-44,129.0126881,35.148675,피자스쿨
부산광역시,사하구,부산동아대점,부산광역시 사하구 하단동 497-26,128.9656895,35.1109464,피자스쿨
부산광역시,금정구,부산두실점,부산광역시 금정구 구서2동 164-22,129.0896199,35.2580884,피자스쿨
부산광역시,연제구,부산망미주공점,부산광역시 연제구 연산9동 57-31 ,129.1069326,35.1806553,피자스쿨
부산광역시,동래구,부산명륜점,부산광역시 동래구 명륜동 8-69,129.0867633,35.2162127,피자스쿨
부산광역시,해운대구,부산반송점,부산광역시 해운대구 반송동 93-1 광하상가 5-6호 ,129.1594014,35.2299497,피자스쿨
부산광역시,해운대구,부산반여1동점,부산광역시 해운대구 반여1동 1441-136 ,129.1190582,35.2011138,피자스쿨
부산광역시,수영구,부산배산역점,부산광역시 수영구 망미동 832-12,129.0995415,35.1733075,피자스쿨
부산광역시,금정구,부산부곡1동점,부산광역시 금정구 부곡동 308-23,129.0924294,35.2252494,피자스쿨
부산광역시,금정구,부산부곡3동점,부산광역시 금정구 부곡동 63-11,129.0914028,35.2403381,피자스쿨
부산광역시,동래구,부산사직점,부산광역시 동래구 사직동 43-1번지 1층 3호 ,129.0573173,35.1985832,피자스쿨
부산광역시,금정구,부산서동점,부산광역시 금정구 서동 196-68,129.1043408,35.2154031,피자스쿨
부산광역시,동래구,부산안락점,부산광역시 동래구 안락동 468-24,129.1114587,35.1991122,피자스쿨
부산광역시,부산진구,부산여대점,부산광역시 부산진구 양정동 360-32,129.0704683,35.1686619,피자스쿨
부산광역시,남구,부산용호점,부산광역시 남구 용호동 371-27,129.1126885,35.1196133,피자스쿨
부산광역시,금정구,부산장전1동점,부산광역시 금정구 장전동 153-4,129.0848081,35.2379549,피자스쿨
부산광역시,해운대구,부산재송점,부산광역시 해운대구 재송동 1150-5,129.1304466,35.1934196,피자스쿨
부산광역시,기장군,부산정관용수점,부산광역시 기장군 정관면 용수리,129.1626134,35.3256116,피자스쿨
