store,address,city,district,lat,lng,population,city_district
영통점,경기도 수원시 영통구 청명로 65 (영통동),경기도,수원시,37.2531517,127.0797272,1198461,경기도수원시
율천점,"경기도 수원시 장안구 하률로 3, 1층 (천천동)",경기도,수원시,37.3032221,126.9736369,1198461,경기도수원시
배곧신도시점,"경기도 시흥시 배곧4로 32-28 (정왕동) 그랜드프라자 101,102호",경기도,시흥시,37.3781463,126.7259781,459601,경기도시흥시
시화점,경기도 시흥시 봉우재로 32 (정왕동),경기도,시흥시,37.3457027,126.7445941,459601,경기도시흥시
시흥목감점,경기도 시흥시 남왕길 48-12(목감동),경기도,시흥시,37.3826015,126.8634541,459601,경기도시흥시
시흥연성점,경기도 시흥시 승지로69번길 7 (능곡동),경기도,시흥시,37.3702589,126.8097046,459601,경기도시흥시
시흥은행점,경기도 시흥시 은행로 180 (대야동),경기도,시흥시,37.4466617,126.7976978,459601,경기도시흥시
고잔점,"경기도 안산시 단원구 광덕대로 137, 상가 101~102호 (고잔동, 밀레니엄1)",경기도,안산시,37.3088014,126.8289081,657988,경기도안산시
상록수점,경기도 안산시 상록구 석호로 225 (사동),경기도,안산시,37.293994,126.85556979999998,657988,경기도안산시
선부점,경기도 안산시 단원구 지곡로 29 (선부동),경기도,안산시,37.3373634,126.8039098,657988,경기도안산시
안산성포점,경기도 안산시 상록구 예술광장1로 94 (성포동),경기도,안산시,37.32646210000001,126.8470433,657988,경기도안산시
공도점,경기도 안성시 공도읍 공도4로 21 (만정리),경기도,안성시,37.0017847,127.1710669,183665,경기도안성시
안성금산점,경기도 안성시 대학로 84-1 (금산동),경기도,안성시,37.0157024,127.2671717,183665,경기도안성시
범계점,"경기도 안양시 동안구 평촌대로243번길 30, 1층 (비산동, 샤크존)",경기도,안양시,37.3928209,126.9530254,573296,경기도안양시
안양석수점,"경기도 안양시 만안구 경수대로 1213 (석수동, 문화빌딩)",경기도,안양시,37.4167259,126.9132493,573296,경기도안양시
안양중앙점,"경기도 안양시 만안구 만안로 284, 마인빌오피스텔 103호 (안양동, 마인빌)",경기도,안양시,37.4051282,126.919291,573296,경기도안양시
인덕원점,경기도 안양시 동안구 관악대로 407 (관양동),경기도,안양시,37.405043,126.9680164,573296,경기도안양시
평촌점,"경기도 안양시 동안구 귀인로 198, 베스트타운 101호 (평촌동)",경기도,안양시,37.3854506,126.96116,573296,경기도안양시
양주고읍점,경기도 양주시 고읍로 151 현대빌딩 1층,경기도,양주시,37.7926531,127.08667959999998,219789,경기도양주시
양주점,경기도 양주시 독바위로 36-1 (덕정동),경기도,양주시,37.837924,127.06246509999998,219789,경기도양주시
양평점,"경기도 양평군 양평읍 시민로 92-1, 원재빌딩 1층 (공흥리)",경기도,양평군,37.4904562,127.5019206,116084,경기도양평군
여주점,경기도 여주시 세종로 32 (홍문동),경기도,여주시,37.2949679,127.6360338,111143,경기도여주시
여주점,경기도 여주시 세종로 32 (홍문동),경기도,여주시,37.2949679,127.6360338,111143,경기도여주시
오산세교점,경기도 오산시 수청로 18 (수청동),경기도,오산시,37.1716515,127.0589533,220081,경기도오산시
